Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
492540,21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",2,12/17/2009 13:36,4.95,15005,United Kingdom
490823,21292,SMALL STRIPES CHOCOLATE GIFT BAG ,64,12/8/2009 12:34,0.19,14841,United Kingdom
491714,22119, PEACE WOODEN BLOCK LETTERS,3,12/13/2009 15:38,6.95,16409,United Kingdom
490966,72756,FAIRY CAKE CANDLES,9,12/8/2009 16:20,1.49,17178,United Kingdom
489537,20829,GLITTER HANGING BUTTERFLY STRING,6,12/1/2009 12:14,2.1,14040,United Kingdom
492659,15039,SANDALWOOD FAN,1,12/17/2009 17:54,0.85,16720,United Kingdom
490834,84569D,PACK 6 HEART/ICE-CREAM PATCHES,9,12/8/2009 12:38,1.25,16400,United Kingdom
489866,21313,GLASS HEART T-LIGHT HOLDER ,5,12/2/2009 15:04,0.85,16200,United Kingdom
490508,79323W, WHITE CHERRY LIGHTS,4,12/6/2009 14:14,5.45,17850,United Kingdom
491445,21590,KINGS CHOICE CIGAR BOX MATCHES ,2,12/11/2009 10:40,1.25,14519,United Kingdom
490272,21535,RETRO SPOT SMALL MILK JUG,1,12/4/2009 12:36,2.55,14680,United Kingdom
489832,85099F,JUMBO BAG STRAWBERRY,2,12/2/2009 14:06,1.95,14549,United Kingdom
492539,21486,PINK HEART DOTS HOT WATER BOTTLE,2,12/17/2009 13:35,3.75,16908,United Kingdom
492484,21740,COSY SLIPPER SHOES LARGE RED,1,12/17/2009 11:43,2.95,15862,United Kingdom
492405,20899,VINTAGE NOTEBOOK RED ROSE,1,12/16/2009 15:48,2.95,15055,United Kingdom
489833,22143,CHRISTMAS CRAFT HEART DECORATIONS,4,12/2/2009 14:09,2.1,14980,United Kingdom
490300,85099F,JUMBO BAG STRAWBERRY,2,12/4/2009 14:19,1.95,12970,United Kingdom
492644,20693,FLORAL DINOSAUR GREEN,2,12/17/2009 17:16,4.25,16200,United Kingdom
492635,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,12/17/2009 16:18,2.95,17526,United Kingdom
489875,35911A,MULTICOLOUR RABBIT EGG WARMER,1,12/2/2009 15:41,2.1,17841,United Kingdom
